Horario;Conta;Instrumento;Lado;Qtd Ordem;Qtd Execucao Atual;Qtd Exec Acumulada;Preco Executado;Notional Ordem;Notional Exec Atual;Notional Exec Acumulada;Entering Trader
20250629-21:24:16.020;ACC002;MGLU3;Sell;277;0;277;230.30144194309713;63793.49941823791;0.0;63793.49941823791;MARIA
20250629-21:24:16.045;ACC004;MGLU3;Sell;633;0;633;81.21111685065614;51406.63696646534;0.0;51406.63696646534;ANA
20250629-21:24:16.045;ACC010;RENT3;Sell;300;0;300;398.0923392051192;119427.70176153575;0.0;119427.70176153575;CARLOS
20250629-21:24:16.046;ACC001;WEGE3;Buy;882;0;882;336.19810154640254;296526.72556392703;0.0;296526.72556392703;JOSE
20250629-21:24:16.046;ACC003;MGLU3;Buy;311;0;311;288.73379759642216;89796.2110524873;0.0;89796.2110524873;ANA
20250629-21:24:16.046;ACC005;ITUB4;Sell;875;0;875;282.42337963713993;247120.45718249743;0.0;247120.45718249743;MARIA
20250629-21:24:16.046;ACC001;LREN3;Buy;224;0;224;212.6537826407893;47634.4473115368;0.0;47634.4473115368;CARLOS
20250629-21:24:16.048;ACC004;ABEV3;Buy;454;0;454;269.9965931998494;122578.45331273164;0.0;122578.45331273164;ANA
20250629-21:24:16.048;ACC002;ABEV3;Sell;805;0;805;469.4622314695654;377917.0963330001;0.0;377917.0963330001;PAULO
20250629-21:24:16.048;ACC006;ITUB4;Buy;739;0;739;393.07712441273407;290483.9949410105;0.0;290483.9949410105;CARLOS
20250629-21:24:16.049;ACC006;MGLU3;Sell;630;0;630;209.02674444009793;131686.8489972617;0.0;131686.8489972617;PAULO
20250629-21:24:16.049;ACC008;BBAS3;Sell;879;0;879;125.66777027506515;110461.97007178227;0.0;110461.97007178227;ANA
20250629-21:24:16.049;ACC007;WEGE3;Buy;482;0;482;423.94350069252494;204340.767333797;0.0;204340.767333797;PAULO
20250629-21:24:16.050;ACC008;RENT3;Sell;215;0;215;273.03557402250635;58702.64841483886;0.0;58702.64841483886;JOSE
20250629-21:24:16.050;ACC008;VALE3;Buy;333;0;333;295.68682673258246;98463.71330194996;0.0;98463.71330194996;JOSE
20250629-21:24:16.050;ACC004;PETR4;Sell;842;0;842;247.95118533625484;208774.89805312658;0.0;208774.89805312658;ANA
20250629-21:24:16.050;ACC010;WEGE3;Buy;438;0;438;393.7185650647375;172448.73149835502;0.0;172448.73149835502;MARIA
20250629-21:24:16.050;ACC009;BBAS3;Buy;805;0;805;281.2112259673196;226375.03690369226;0.0;226375.03690369226;CARLOS
20250629-21:24:16.051;ACC009;ABEV3;Sell;432;0;432;196.85039307121497;85039.36980676487;0.0;85039.36980676487;JOSE
20250629-21:24:16.051;ACC008;RENT3;Sell;825;0;825;244.817332462553;201974.29928160622;0.0;201974.29928160622;JOSE
20250629-21:24:16.051;ACC002;MGLU3;Sell;726;0;726;364.8861622032623;264907.3537595684;0.0;264907.3537595684;ANA
20250629-21:24:16.051;ACC009;RENT3;Buy;864;0;864;388.03870326103606;335265.43961753516;0.0;335265.43961753516;PAULO
20250629-21:24:16.051;ACC010;MGLU3;Buy;861;0;861;108.88681433724688;93751.54714436956;0.0;93751.54714436956;CARLOS
20250629-21:24:16.052;ACC006;MGLU3;Sell;586;0;586;20.88568917887992;12239.013858823635;0.0;12239.013858823635;PAULO
20250629-21:24:16.052;ACC006;VALE3;Sell;953;0;953;119.91056716376536;114274.77050706839;0.0;114274.77050706839;CARLOS
20250629-21:24:16.052;ACC006;PETR4;Buy;489;0;489;408.1810669864583;199600.5417563781;0.0;199600.5417563781;CARLOS
20250629-21:24:16.052;ACC003;VALE3;Buy;829;0;829;319.35512119293446;264745.39546894265;0.0;264745.39546894265;JOSE
20250629-21:24:16.053;ACC005;ITUB4;Sell;625;0;625;290.4421355759898;181526.33473499364;0.0;181526.33473499364;ANA
20250629-21:24:16.053;ACC010;VALE3;Sell;620;0;620;248.79867305811484;154255.1772960312;0.0;154255.1772960312;JOSE
20250629-21:24:16.053;ACC007;BBDC4;Buy;550;0;550;384.8434247132535;211663.88359228944;0.0;211663.88359228944;JOSE
20250629-21:24:16.053;ACC006;RENT3;Sell;901;0;901;20.59265515276205;18553.982292638608;0.0;18553.982292638608;ANA
20250629-21:24:16.053;ACC004;VALE3;Buy;643;0;643;285.0487336633954;183286.33574556324;0.0;183286.33574556324;CARLOS
20250629-21:24:16.053;ACC002;ABEV3;Sell;952;0;952;30.06694000181517;28623.726881728042;0.0;28623.726881728042;MARIA
20250629-21:24:16.053;ACC007;WEGE3;Sell;962;0;962;231.06732203684058;222286.76379944064;0.0;222286.76379944064;ANA
20250629-21:24:16.053;ACC004;MGLU3;Sell;529;0;529;234.1545894805717;123867.77783522243;0.0;123867.77783522243;PAULO
20250629-21:24:16.054;ACC001;BBAS3;Sell;517;0;517;65.90864630726765;34074.77014085737;0.0;34074.77014085737;MARIA
20250629-21:24:16.054;ACC005;BBDC4;Sell;499;0;499;125.16797013723388;62458.8170984797;0.0;62458.8170984797;PAULO
20250629-21:24:16.054;ACC005;LREN3;Buy;169;0;169;136.7036786078594;23102.921684728237;0.0;23102.921684728237;MARIA
20250629-21:24:16.054;ACC001;ABEV3;Buy;304;0;304;342.20869152259604;104031.4422228692;0.0;104031.4422228692;MARIA
20250629-21:24:16.054;ACC002;WEGE3;Buy;359;0;359;216.8196356410476;77838.24919513609;0.0;77838.24919513609;PAULO
20250629-21:24:16.055;ACC009;WEGE3;Buy;520;0;520;207.77886073104008;108045.00758014084;0.0;108045.00758014084;MARIA
20250629-21:24:16.055;ACC009;WEGE3;Sell;760;0;760;274.9593187220684;208969.082228772;0.0;208969.082228772;JOSE
20250629-21:24:16.055;ACC005;RENT3;Buy;473;0;473;392.8658907310911;185825.5663158061;0.0;185825.5663158061;CARLOS
20250629-21:24:16.055;ACC005;WEGE3;Sell;110;0;110;365.4730369979264;40202.0340697719;0.0;40202.0340697719;CARLOS
20250629-21:24:16.055;ACC007;VALE3;Sell;273;0;273;393.8439417928621;107519.39610945135;0.0;107519.39610945135;JOSE
20250629-21:24:16.055;ACC002;WEGE3;Buy;449;0;449;266.5627880808645;119686.69184830815;0.0;119686.69184830815;CARLOS
20250629-21:24:16.055;ACC005;RENT3;Sell;982;0;982;232.91396997874313;228721.51851912576;0.0;228721.51851912576;MARIA
20250629-21:24:16.055;ACC007;BBAS3;Sell;832;0;832;335.56548874354445;279190.48663462896;0.0;279190.48663462896;CARLOS
20250629-21:24:16.057;ACC006;MGLU3;Buy;527;0;527;491.94552896833795;259255.2937663141;0.0;259255.2937663141;JOSE
20250629-21:24:16.057;ACC007;PETR4;Buy;433;0;433;256.81021905516775;111198.82485088764;0.0;111198.82485088764;PAULO
20250629-21:24:16.057;ACC006;ITUB4;Sell;948;0;948;169.46670432750082;160654.43570247077;0.0;160654.43570247077;JOSE
20250629-21:24:16.057;ACC008;ITUB4;Buy;362;0;362;399.5009584670702;144619.3469650794;0.0;144619.3469650794;MARIA
20250629-21:24:16.057;ACC003;ABEV3;Buy;968;0;968;151.53491808992075;146685.8007110433;0.0;146685.8007110433;CARLOS
20250629-21:24:16.058;ACC004;ITUB4;Buy;255;0;255;269.6743597720095;68766.96174186243;0.0;68766.96174186243;ANA
20250629-21:24:16.058;ACC010;RENT3;Sell;210;0;210;381.4977315074506;80114.52361656463;0.0;80114.52361656463;MARIA
20250629-21:24:16.058;ACC005;ITUB4;Sell;665;0;665;146.96799339738345;97733.71560925999;0.0;97733.71560925999;ANA
20250629-21:24:16.058;ACC004;BBDC4;Buy;141;0;141;229.03659108198897;32294.159342560444;0.0;32294.159342560444;CARLOS
20250629-21:24:16.059;ACC007;RENT3;Sell;373;0;373;159.46316717974463;59479.76135804475;0.0;59479.76135804475;PAULO
20250629-21:24:16.059;ACC010;LREN3;Sell;126;0;126;439.3567004832803;55358.94426089332;0.0;55358.94426089332;JOSE
20250629-21:24:16.059;ACC001;WEGE3;Buy;118;0;118;102.25744871247724;12066.378948072315;0.0;12066.378948072315;CARLOS
20250629-21:24:16.059;ACC005;VALE3;Sell;767;0;767;241.74209540643977;185416.1871767393;0.0;185416.1871767393;MARIA
20250629-21:24:16.059;ACC007;VALE3;Buy;898;0;898;259.4037772606699;232944.5919800816;0.0;232944.5919800816;ANA
20250629-21:24:16.059;ACC001;ABEV3;Buy;745;0;745;105.33108493021524;78471.65827301035;0.0;78471.65827301035;JOSE
20250629-21:24:16.059;ACC001;LREN3;Buy;692;0;692;172.4979211117472;119368.56140932905;0.0;119368.56140932905;MARIA
20250629-21:24:16.059;ACC005;ITUB4;Buy;317;0;317;384.79225395923845;121979.14450507858;0.0;121979.14450507858;ANA
20250629-21:24:16.060;ACC010;VALE3;Buy;994;0;994;195.23924703954884;194067.81155731154;0.0;194067.81155731154;ANA
20250629-21:24:16.060;ACC003;LREN3;Buy;425;0;425;217.69274946836543;92519.4185240553;0.0;92519.4185240553;JOSE
20250629-21:24:16.060;ACC002;BBAS3;Sell;740;0;740;272.96926910221333;201997.25913563787;0.0;201997.25913563787;CARLOS
20250629-21:24:16.060;ACC008;ITUB4;Buy;403;0;403;198.12100445974298;79842.76479727642;0.0;79842.76479727642;PAULO
20250629-21:24:16.060;ACC002;WEGE3;Sell;946;0;946;307.22738413956426;290637.1053960278;0.0;290637.1053960278;PAULO
20250629-21:24:16.060;ACC003;RENT3;Sell;263;0;263;354.9322957866011;93347.1937918761;0.0;93347.1937918761;JOSE
20250629-21:24:16.060;ACC010;MGLU3;Buy;532;0;532;268.02935525159376;142591.61699384789;0.0;142591.61699384789;PAULO
20250629-21:24:16.060;ACC004;MGLU3;Sell;122;0;122;183.8696234932809;22432.09406618027;0.0;22432.09406618027;JOSE
20250629-21:24:16.061;ACC002;MGLU3;Buy;228;0;228;194.62124421698002;44373.64368147145;0.0;44373.64368147145;MARIA
20250629-21:24:16.061;ACC002;BBAS3;Buy;968;0;968;332.9211566462501;322267.6796335701;0.0;322267.6796335701;PAULO
20250629-21:24:16.061;ACC003;BBAS3;Sell;658;0;658;213.95743149477022;140783.9899235588;0.0;140783.9899235588;PAULO
20250629-21:24:16.061;ACC010;MGLU3;Buy;172;0;172;249.0022964700081;42828.39499284139;0.0;42828.39499284139;MARIA
20250629-21:24:16.061;ACC008;WEGE3;Sell;132;0;132;331.12045541124036;43707.90011428373;0.0;43707.90011428373;MARIA
20250629-21:24:16.061;ACC010;BBDC4;Sell;274;0;274;386.3427435903602;105857.9117437587;0.0;105857.9117437587;CARLOS
20250629-21:24:16.062;ACC003;PETR4;Sell;896;0;896;235.96307990141094;211422.9195916642;0.0;211422.9195916642;JOSE
20250629-21:24:16.062;ACC002;ITUB4;Sell;888;0;888;226.34432968047764;200993.76475626414;0.0;200993.76475626414;PAULO
20250629-21:24:16.062;ACC002;MGLU3;Buy;490;0;490;198.27195161546825;97153.25629157944;0.0;97153.25629157944;CARLOS
20250629-21:24:16.062;ACC006;VALE3;Sell;289;0;289;269.09604988957585;77768.75841808743;0.0;77768.75841808743;ANA
20250629-21:24:16.062;ACC008;VALE3;Buy;685;0;685;421.79624137632425;288930.4253427821;0.0;288930.4253427821;CARLOS
20250629-21:24:16.062;ACC005;LREN3;Buy;948;0;948;261.3607013405743;247769.94487086442;0.0;247769.94487086442;ANA
20250629-21:24:16.062;ACC001;WEGE3;Sell;919;0;919;296.26114911927766;272263.9960406162;0.0;272263.9960406162;PAULO
20250629-21:24:16.062;ACC010;BBDC4;Buy;806;0;806;172.60292092388204;139117.95426464893;0.0;139117.95426464893;ANA
20250629-21:24:16.063;ACC009;VALE3;Sell;854;0;854;250.66748606482008;214070.03309935634;0.0;214070.03309935634;CARLOS
20250629-21:24:16.063;ACC005;WEGE3;Sell;970;0;970;338.18925420304583;328043.57657695445;0.0;328043.57657695445;PAULO
20250629-21:24:16.063;ACC001;BBDC4;Buy;483;0;483;204.89343513579468;98963.52917058882;0.0;98963.52917058882;CARLOS
20250629-21:24:16.063;ACC002;BBDC4;Sell;376;0;376;403.55164083566603;151735.41695421044;0.0;151735.41695421044;MARIA
20250629-21:24:16.063;ACC008;BBDC4;Buy;814;0;814;253.6754207305579;206491.79247467412;0.0;206491.79247467412;ANA
20250629-21:24:16.063;ACC007;LREN3;Buy;236;0;236;200.890154106324;47410.076369092465;0.0;47410.076369092465;PAULO
20250629-21:24:16.063;ACC005;ABEV3;Sell;161;0;161;73.27664707228598;11797.540178638043;0.0;11797.540178638043;CARLOS
20250629-21:24:16.064;ACC001;MGLU3;Buy;421;0;421;360.00261663404757;151561.10160293404;0.0;151561.10160293404;JOSE
20250629-21:24:16.064;ACC010;VALE3;Buy;965;0;965;376.5479447707172;363368.7667037421;0.0;363368.7667037421;CARLOS
20250629-21:24:16.064;ACC003;ABEV3;Sell;339;0;339;223.87764689402206;75894.52229707348;0.0;75894.52229707348;PAULO
20250629-21:24:16.064;ACC010;MGLU3;Sell;849;0;849;383.2637025175693;325390.88343741634;0.0;325390.88343741634;MARIA
20250629-21:24:16.064;ACC010;ITUB4;Sell;793;0;793;444.78704422478063;352716.12607025105;0.0;352716.12607025105;JOSE
20250629-21:24:16.064;ACC003;VALE3;Sell;576;0;576;51.42562995499046;29621.162854074508;0.0;29621.162854074508;CARLOS
20250629-21:24:16.064;ACC001;PETR4;Sell;379;0;379;166.02481338234094;62923.40427190722;0.0;62923.40427190722;CARLOS
20250629-21:24:16.064;ACC006;VALE3;Sell;843;0;843;162.11888577327667;136666.22070687223;0.0;136666.22070687223;ANA
20250629-21:24:16.065;ACC001;BBAS3;Buy;543;0;543;234.4766752521619;127320.83466192392;0.0;127320.83466192392;JOSE
20250629-21:24:16.065;ACC008;ABEV3;Buy;798;0;798;416.6194268166191;332462.30259966204;0.0;332462.30259966204;ANA
20250629-21:24:16.065;ACC001;BBAS3;Sell;826;0;826;313.09592930236386;258617.23760375255;0.0;258617.23760375255;ANA
20250629-21:24:16.065;ACC008;ITUB4;Buy;909;0;909;119.17993195641043;108334.55814837708;0.0;108334.55814837708;ANA
20250629-21:24:16.065;ACC009;BBDC4;Sell;256;0;256;464.0258819779268;118790.62578634926;0.0;118790.62578634926;PAULO
20250629-21:24:16.065;ACC002;BBAS3;Buy;672;0;672;215.01280849114696;144488.60730605075;0.0;144488.60730605075;JOSE
20250629-21:24:16.065;ACC010;ABEV3;Buy;548;0;548;247.73972337363637;135761.36840875272;0.0;135761.36840875272;CARLOS
20250629-21:24:16.066;ACC004;LREN3;Buy;819;0;819;304.0812340061324;249042.53065102242;0.0;249042.53065102242;ANA
20250629-21:24:16.066;ACC002;VALE3;Sell;961;0;961;143.5274994912096;137929.9270110524;0.0;137929.9270110524;CARLOS
20250629-21:24:16.066;ACC002;PETR4;Buy;806;0;806;302.0845507732894;243480.14792327123;0.0;243480.14792327123;PAULO
20250629-21:24:16.066;ACC008;ITUB4;Sell;316;0;316;190.20151463443443;60103.67862448128;0.0;60103.67862448128;PAULO
20250629-21:24:16.066;ACC004;ABEV3;Sell;940;0;940;226.99236791839414;213372.82584329048;0.0;213372.82584329048;PAULO
20250629-21:24:16.066;ACC003;MGLU3;Buy;828;0;828;302.82892579745464;250742.35056029246;0.0;250742.35056029246;ANA
20250629-21:24:16.066;ACC001;PETR4;Sell;194;0;194;120.71550623996329;23418.808210552877;0.0;23418.808210552877;ANA
20250629-21:24:16.066;ACC005;VALE3;Sell;705;0;705;348.77157156307294;245883.9579519664;0.0;245883.9579519664;ANA
20250629-21:24:16.066;ACC007;BBDC4;Sell;525;0;525;165.45372100351605;86863.20352684593;0.0;86863.20352684593;JOSE
20250629-21:24:16.067;ACC002;BBAS3;Buy;487;0;487;234.37772211658722;114141.95067077798;0.0;114141.95067077798;MARIA
20250629-21:24:16.067;ACC004;BBDC4;Sell;362;0;362;405.1084511726357;146649.2593244941;0.0;146649.2593244941;MARIA
20250629-21:24:16.067;ACC007;ABEV3;Buy;146;0;146;459.5242977675982;67090.54747406935;0.0;67090.54747406935;ANA
20250629-21:24:16.067;ACC005;PETR4;Buy;775;0;775;70.93049737430262;54971.13546508453;0.0;54971.13546508453;JOSE
20250629-21:24:16.067;ACC004;BBAS3;Buy;734;0;734;428.36646724593425;314420.9869585157;0.0;314420.9869585157;ANA
20250629-21:24:16.067;ACC009;VALE3;Sell;422;0;422;336.669690389055;142074.60934418123;0.0;142074.60934418123;PAULO
20250629-21:24:16.067;ACC004;ITUB4;Sell;887;0;887;360.5191155745619;319780.4555146364;0.0;319780.4555146364;PAULO
